state;stateName;pollster;startDate;endDate;numberOfObservations;biden;trump;other
AZ;Arizona;Ipsos;10/27/2020;11/2/2020;610;50;47;2
AZ;Arizona;Marist College;10/29/2020;11/1/2020;717;48;48;
AZ;Arizona;Data Orbital;10/28/2020;10/30/2020;550;46;45;
AZ;Arizona;Morning Consult;10/22/2020;10/31/2020;1059;48;46;
AZ;Arizona;AtlasIntel;10/30/2020;10/31/2020;641;48;50;
AZ;Arizona;Data for Progress;10/27/2020;11/1/2020;1195;50;47;
AZ;Arizona;NYT/Siena College;10/26/2020;10/30/2020;1252;49;43;3
AZ;Arizona;Y2 Analytics B;10/15/2020;10/24/2020;700;50;47;
AZ;Arizona;SSRS;10/23/2020;10/30/2020;865;50;46;3
AZ;Arizona;The Justice Collaborative Institute;10/22/2020;10/25/2020;1007;49;43;
AZ;Arizona;Ipsos;10/21/2020;10/27/2020;714;48;46;
AZ;Arizona;Latino Decisions;10/17/2020;10/25/2020;725;50;45;
AZ;Arizona;Gravis Marketing;10/26/2020;10/28/2020;704;48;44;
AZ;Arizona;Patinkin Research Strategies;10/21/2020;10/24/2020;729;52;45;
AZ;Arizona;OH Predictive Insights amended;10/22/2020;10/25/2020;716;49;46;3
AZ;Arizona;Morning Consult;10/11/2020;10/20/2020;1066;47;48;
AZ;Arizona;Ipsos;10/14/2020;10/21/2020;658;50;46;1
AZ;Arizona;Change Research;10/16/2020;10/19/2020;400;51;45;
AZ;Arizona;Data Orbital;10/16/2020;10/18/2020;550;47;42;3
AZ;Arizona;YouGov;10/13/2020;10/16/2020;1074;50;47;
AZ;Arizona;Monmouth University;10/9/2020;10/13/2020;502;50;45;
AZ;Arizona;OH Predictive Insights;10/4/2020;10/8/2020;608;49;45;4
AZ;Arizona;Ipsos;10/7/2020;10/14/2020;667;50;46;
AZ;Arizona;Morning Consult;10/2/2020;10/11/2020;1144;49;46;
AZ;Arizona;Redfield & Wilton Strategies;10/4/2020;10/6/2020;727;49;43;
AZ;Arizona;Ipsos;9/29/2020;10/7/2020;640;48;46;
AZ;Arizona;Data Orbital;10/3/2020;10/5/2020;550;48;43;3
AZ;Arizona;Change Research;10/2/2020;10/4/2020;586;51;45;
AZ;Arizona;Strategies 360;9/24/2020;9/29/2020;800;49;45;
AZ;Arizona;NYT/Siena College;10/1/2020;10/3/2020;655;49;41;3
AZ;Arizona;Redfield & Wilton Strategies;9/23/2020;9/25/2020;871;47;44;2
AZ;Arizona;Suffolk University;9/26/2020;9/30/2020;500;50;46;1
AZ;Arizona;Data for Progress;9/24/2020;9/28/2020;808;49;45;1
AZ;Arizona;Hart Research Associates;9/17/2020;9/19/2020;400;53;42;
AZ;Arizona;Data for Progress;9/15/2020;9/22/2020;471;45;46;
AZ;Arizona;Data Orbital;9/14/2020;9/17/2020;550;49;47;
AZ;Arizona;Ipsos;9/11/2020;9/17/2020;565;47;46;
AZ;Arizona;ABC News/Washington Post;9/15/2020;9/20/2020;701;48;49;
AZ;Arizona;Change Research;9/18/2020;9/20/2020;262;49;43;
AZ;Arizona;Redfield & Wilton Strategies;9/12/2020;9/16/2020;855;47;42;1
AZ;Arizona;NYT/Siena College;9/10/2020;9/15/2020;653;49;40;4
AZ;Arizona;Monmouth University;9/11/2020;9/15/2020;420;48;47;
AZ;Arizona;Kaiser Family Foundation;8/29/2020;9/13/2020;1298;45;40;
AZ;Arizona;OH Predictive Insights;9/8/2020;9/10/2020;600;52;42;
AZ;Arizona;YouGov;9/9/2020;9/11/2020;1106;47;44;
AZ;Arizona;Gravis Marketing;9/10/2020;9/11/2020;684;50;48;
AZ;Arizona;Benenson Strategy Group/GS Strategy Group;8/28/2020;9/8/2020;1600;48;47;
AZ;Arizona;Morning Consult;8/29/2020;9/7/2020;901;49;46;
AZ;Arizona;Change Research;9/4/2020;9/6/2020;470;49;45;
AZ;Arizona;Redfield & Wilton Strategies;8/21/2020;9/3/2020;830;48;43;1
AZ;Arizona;Fox News/Beacon Research/Shaw & Co. Research;8/29/2020;9/1/2020;772;49;40;3
AZ;Arizona;Morning Consult;8/21/2020;8/30/2020;943;52;42;
AZ;Arizona;Morning Consult;8/7/2020;8/16/2020;700;45;47;
AZ;Arizona;Change Research;8/21/2020;8/23/2020;344;49;47;
AZ;Arizona;Redfield & Wilton Strategies;8/16/2020;8/18/2020;856;47;38;
AZ;Arizona;Change Research;8/7/2020;8/9/2020;428;45;44;
AZ;Arizona;OH Predictive Insights;8/3/2020;8/4/2020;603;49;45;
AZ;Arizona;Data for Progress;7/24/2020;8/2/2020;1215;45;43;3
AZ;Arizona;Redfield & Wilton Strategies;7/19/2020;7/24/2020;858;46;38;4
AZ;Arizona;Change Research;7/24/2020;7/26/2020;365;47;45;
AZ;Arizona;Morning Consult;7/17/2020;7/26/2020;908;49;42;
AZ;Arizona;SSRS;7/18/2020;7/24/2020;873;49;45;
AZ;Arizona;Marist College;7/14/2020;7/22/2020;826;50;45;
AZ;Arizona;Public Policy Polling;7/17/2020;7/18/2020;960;49;45;
AZ;Arizona;OH Predictive Insights;7/6/2020;7/7/2020;600;49;44;
AZ;Arizona;Change Research;7/10/2020;7/12/2020;345;51;45;
AZ;Arizona;YouGov;7/7/2020;7/10/2020;1087;46;46;
AZ;Arizona;GBAO;4/13/2020;4/16/2020;500;47;46;
AZ;Arizona;Data Orbital;6/27/2020;6/29/2020;600;47;45;
AZ;Arizona;Change Research;6/26/2020;6/28/2020;400;51;44;
AZ;Arizona;Redfield & Wilton Strategies;6/14/2020;6/17/2020;757;43;39;
AZ;Arizona;NYT/Siena College;6/8/2020;6/16/2020;650;48;41;
AZ;Arizona;Change Research;6/12/2020;6/14/2020;400;45;44;
AZ;Arizona;Civiqs;6/13/2020;6/15/2020;1368;49;45;
AZ;Arizona;Fox News/Beacon Research/Shaw & Co. Research;5/30/2020;6/2/2020;1002;46;42;
AZ;Arizona;Change Research;5/29/2020;5/31/2020;329;44;45;
AZ;Arizona;HighGround Inc.;5/18/2020;5/22/2020;400;47;45;5
AZ;Arizona;Redfield & Wilton Strategies;5/10/2020;5/14/2020;946;45;41;
AZ;Arizona;OH Predictive Insights;5/9/2020;5/11/2020;600;50;43;
AZ;Arizona;OH Predictive Insights;4/7/2020;4/8/2020;600;52;43;
AZ;Arizona;Marist College;3/10/2020;3/15/2020;2523;47;46;
AZ;Arizona;Monmouth University;3/11/2020;3/14/2020;847;46;43;
AZ;Arizona;Climate Nexus;2/11/2020;2/15/2020;539;42;46;
AZ;Arizona;Latino Decisions;3/6/2020;3/11/2020;1036;50;42;
AZ;Arizona;OH Predictive Insights;3/3/2020;3/4/2020;600;49;43;
AZ;Arizona;Public Policy Polling;3/2/2020;3/4/2020;666;48;47;
CA;California;David Binder Research;10/28/2020;11/1/2020;800;62;31;
CA;California;University of California, Berkeley;10/16/2020;10/21/2020;5352;65;29;
CA;California;Public Policy Institute of California;10/19/2020;10/18/2020;1185;58;32;5
CA;California;SurveyUSA;9/26/2020;9/28/2020;558;59;32;
CA;California;Redfield & Wilton Strategies;9/19/2020;9/21/2020;1775;62;28;2
CA;California;University of California, Berkeley;9/5/2020;9/15/2020;5942;67;28;
CA;California;Public Policy Institute of California;9/4/2020;9/13/2020;1168;60;31;5
CA;California;David Binder Research;8/22/2020;8/24/2020;800;61;31;
CA;California;Redfield & Wilton Strategies;8/9/2020;8/9/2020;1904;61;25;2
CA;California;SurveyUSA;8/12/2020;8/12/2020;500;56;28;
CA;California;University of California, Berkeley;7/21/2020;7/27/2020;6756;67;28;
CA;California;Public Policy Institute of California;5/17/2020;5/26/2020;1048;57;33;
CA;California;SurveyUSA;5/18/2020;5/19/2020;537;58;30;
CA;California;Public Policy Polling;3/28/2020;3/29/2020;962;67;29;
CA;California;AtlasIntel;2/24/2020;3/2/2020;1100;62;26;
CA;California;YouGov;2/26/2020;2/28/2020;1507;59;31;
CA;California;University of California, Berkeley;2/20/2020;2/25/2020;6002;60;31;
CA;California;SSRS;2/22/2020;2/26/2020;951;60;35;
CA;California;YouGov;1/2/2020;2/15/2020;1200;60;30;
CA;California;SurveyUSA;2/13/2020;2/16/2020;1196;57;37;
CO;Colorado;Morning Consult;10/22/2020;10/31/2020;727;54;41;
CO;Colorado;Data for Progress;10/27/2020;11/1/2020;709;54;42;
CO;Colorado;Keating Research;10/29/2020;11/1/2020;502;53;41;
CO;Colorado;Morning Consult;10/11/2020;10/20/2020;788;55;39;
CO;Colorado;RMG Research;10/9/2020;10/15/2020;800;51;43;3
CO;Colorado;YouGov;10/5/2020;10/9/2020;800;47;38;
CO;Colorado;Keating Research;10/8/2020;10/13/2020;519;54;49;
CO;Colorado;Civiqs;10/11/2020;10/14/2020;1013;54;42;
CO;Colorado;Morning Consult;10/2/2020;10/11/2020;837;54;40;
CO;Colorado;Global Strategy Group;8/28/2020;9/1/2020;800;50;39;6
CO;Colorado;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1549;50;40;
CO;Colorado;Morning Consult;8/29/2020;9/7/2020;657;49;43;
CO;Colorado;Morning Consult;8/21/2020;8/30/2020;700;51;41;
CO;Colorado;Morning Consult;8/7/2020;8/16/2020;700;51;41;
CO;Colorado;Morning Consult;7/17/2020;7/26/2020;616;52;39;
CO;Colorado;Public Policy Polling;7/23/2020;7/24/2020;891;54;41;
CO;Colorado;Public Policy Polling;6/29/2020;6/30/2020;840;56;39;
CO;Colorado;Global Strategy Group;5/7/2020;5/11/2020;800;53;40;
CO;Colorado;Keating Research;5/1/2020;5/3/2020;600;55;35;
CO;Colorado;Montana State University Bozeman;4/10/2020;4/27/2020;380;53;35;
CO;Colorado;Climate Nexus;2/15/2020;2/19/2020;485;46;43;
CT;Connecticut;Sacred Heart University;10/8/2020;10/21/2020;1000;51;26;
CT;Connecticut;SurveyUSA;5/19/2020;5/24/2020;808;52;32;
CT;Connecticut;Quinnipiac University;4/30/2020;5/4/2020;945;56;33;2
CT;Connecticut;Sacred Heart University;3/24/2020;4/3/2020;1000;48;34;
CT;Connecticut;Sacred Heart University;2/24/2020;3/12/2020;1000;52;36;
FL;Florida;Change Research;10/29/2020;11/1/2020;806;51;48;
FL;Florida;Redfield & Wilton Strategies;10/27/2020;10/28/2020;1587;50;46;1
FL;Florida;Data for Progress;10/21/2020;11/1/2020;1202;51;48;2
FL;Florida;AYTM;10/30/2020;11/1/2020;517;45;43;3
FL;Florida;Ipsos;10/27/2020;11/2/2020;670;50;46;2
FL;Florida;Quinnipiac University;10/28/2020;11/1/2020;1657;47;42;
FL;Florida;Morning Consult;10/22/2020;10/31/2020;4451;52;45;
FL;Florida;Targoz Market Research;10/25/2020;10/30/2020;1027;51;47;
FL;Florida;CES;9/29/2020;10/27/2020;3755;49;47;
FL;Florida;NYT/Siena College;10/27/2020;10/31/2020;1451;47;44;3
FL;Florida;St Pete Polls;10/29/2020;10/30/2020;2758;49;48;
FL;Florida;RMG Research;10/28/2020;10/30/2020;1200;51;47;
FL;Florida;ABC News/Washington Post;10/24/2020;10/29/2020;824;48;50;1
FL;Florida;AtlasIntel;10/28/2020;10/29/2020;786;49;49;
FL;Florida;Public Policy Polling;10/28/2020;10/29/2020;941;52;45;
FL;Florida;YouGov;10/16/2020;10/26/2020;1200;48;46;
FL;Florida;Monmouth University;10/24/2020;10/28/2020;509;51;46;
FL;Florida;Quinnipiac University;10/23/2020;10/27/2020;1324;45;42;
FL;Florida;Marist College;10/25/2020;10/27/2020;742;51;47;
FL;Florida;Ipsos;10/21/2020;10/27/2020;704;49;47;
FL;Florida;Latino Decisions;10/17/2020;10/25/2020;743;49;46;
FL;Florida;Florida Atlantic University;10/24/2020;10/25/2020;937;50;48;
FL;Florida;RMG Research;10/20/2020;10/22/2020;800;50;48;
FL;Florida;YouGov;10/20/2020;10/23/2020;1228;50;48;
FL;Florida;St Pete Polls;10/21/2020;10/22/2020;2527;49;47;
FL;Florida;Morning Consult;10/11/2020;10/20/2020;4685;52;45;
FL;Florida;Ipsos;10/14/2020;10/20/2020;662;51;46;2
FL;Florida;SSRS;10/15/2020;10/20/2020;8847;50;46;2
FL;Florida;Civiqs;10/17/2020;10/20/2020;863;51;47;
FL;Florida;Change Research;10/16/2020;10/19/2020;400;50;45;
FL;Florida;University of North Florida;10/12/2020;10/16/2020;863;48;47;
FL;Florida;Mason-Dixon Polling & Strategy;10/8/2020;10/12/2020;625;48;45;
FL;Florida;Clearview Reseach;10/7/2020;10/12/2020;550;47;40;
FL;Florida;Ipsos;10/7/2020;10/14/2020;654;49;47;
FL;Florida;St Pete Polls;10/11/2020;10/12/2020;2215;49;47;
FL;Florida;RMG Research;10/4/2020;10/8/2020;800;48;46;2
FL;Florida;Morning Consult;10/2/2020;10/11/2020;4785;51;46;
FL;Florida;Florida Atlantic University;10/9/2020;10/10/2020;644;51;47;
FL;Florida;Redfield & Wilton Strategies;10/4/2020;10/6/2020;998;49;44;
FL;Florida;Saint Leo University;9/27/2020;10/2/2020;489;50;44;
FL;Florida;Ipsos;9/29/2020;10/7/2020;640;49;45;
FL;Florida;Quinnipiac University;10/1/2020;10/5/2020;1256;51;40;
FL;Florida;Change Research;10/2/2020;10/4/2020;586;50;46;
FL;Florida;University of North Florida;10/1/2020;10/4/2020;3142;51;45;
FL;Florida;Suffolk University;10/1/2020;10/4/2020;500;45;45;3
FL;Florida;NYT/Siena College;9/30/2020;10/1/2020;719;47;42;3
FL;Florida;Redfield & Wilton Strategies;9/23/2020;9/25/2020;1073;48;43;2
FL;Florida;Hart Research Associates;9/17/2020;9/19/2020;400;51;45;
FL;Florida;Data for Progress;9/15/2020;9/22/2020;620;46;43;
FL;Florida;Ipsos;9/11/2020;9/16/2020;586;47;47;
FL;Florida;St Pete Polls;9/21/2020;9/22/2020;2906;50;47;
FL;Florida;Change Research;9/18/2020;9/20/2020;702;49;46;
FL;Florida;ABC News/Washington Post;9/15/2020;9/20/2020;613;47;51;
FL;Florida;The Tyson Group;8/11/2020;8/15/2020;750;46;44;2
FL;Florida;YouGov;9/15/2020;9/18/2020;1205;48;46;
FL;Florida;Redfield & Wilton Strategies;9/12/2020;9/16/2020;1158;47;44;2
FL;Florida;Kaiser Family Foundation;8/29/2020;9/13/2020;1009;43;42;
FL;Florida;Monmouth University;9/10/2020;9/13/2020;428;50;46;
FL;Florida;Florida Atlantic University;9/11/2020;9/12/2020;641;50;50;
FL;Florida;Benenson Strategy Group/GS Strategy Group;8/28/2020;9/8/2020;1600;48;46;
FL;Florida;St Pete Polls;9/7/2020;9/8/2020;2689;50;47;
FL;Florida;Morning Consult;8/29/2020;9/7/2020;3914;50;45;
FL;Florida;Change Research;9/4/2020;9/6/2020;1144;49;46;
FL;Florida;Redfield & Wilton Strategies;8/21/2020;9/3/2020;1093;47;44;2
FL;Florida;GQR Research;8/26/2020;9/3/2020;1000;51;46;
FL;Florida;Marist College;8/31/2020;9/6/2020;766;48;48;
FL;Florida;Quinnipiac University;8/28/2020;9/1/2020;1235;48;45;
FL;Florida;Opinium;8/21/2020;8/26/2020;684;50;43;
FL;Florida;Morning Consult;8/21/2020;8/30/2020;700;49;47;
FL;Florida;Morning Consult;8/7/2020;8/16/2020;700;50;45;
FL;Florida;Change Research;8/21/2020;8/23/2020;1262;49;46;
FL;Florida;Public Policy Polling;8/21/2020;8/22/2020;671;48;44;
FL;Florida;Redfield & Wilton Strategies;8/16/2020;8/16/2020;1280;49;41;
FL;Florida;Change Research;8/7/2020;8/9/2020;469;50;44;
FL;Florida;Redfield & Wilton Strategies;7/19/2020;7/24/2020;1121;48;41;2
FL;Florida;Mason-Dixon Polling & Strategy;7/20/2020;7/23/2020;625;50;46;
FL;Florida;Change Research;7/24/2020;7/26/2020;685;48;45;
FL;Florida;Morning Consult;7/17/2020;7/26/2020;3760;49;46;
FL;Florida;SSRS;7/18/2020;7/24/2020;880;51;46;
FL;Florida;Quinnipiac University;7/16/2020;7/20/2020;924;51;38;
FL;Florida;St Pete Polls;7/13/2020;7/14/2020;3018;50;44;
FL;Florida;Change Research;7/10/2020;7/12/2020;1128;50;43;
FL;Florida;Gravis Marketing;7/13/2020;7/13/2020;529;53;43;
FL;Florida;YouGov;7/7/2020;7/10/2020;1206;48;42;
FL;Florida;Change Research;6/26/2020;6/28/2020;400;50;45;
FL;Florida;Fox News/Beacon Research/Shaw & Co. Research;6/20/2020;6/23/2020;1010;49;40;
FL;Florida;Redfield & Wilton Strategies;6/14/2020;6/15/2020;942;45;41;
FL;Florida;NYT/Siena College;6/8/2020;6/18/2020;651;47;41;
FL;Florida;Change Research;6/12/2020;6/14/2020;400;50;43;
FL;Florida;TIPP;6/9/2020;6/11/2020;910;50;40;
FL;Florida;TIPP;6/9/2020;6/11/2020;875;51;40;
FL;Florida;Cygnal;5/18/2020;5/30/2020;881;47;44;
FL;Florida;Change Research;5/29/2020;5/31/2020;1186;48;45;
FL;Florida;St Pete Polls;5/26/2020;5/27/2020;4763;48;47;3
FL;Florida;Redfield & Wilton Strategies;5/10/2020;5/14/2020;1014;45;43;
FL;Florida;Point Blank Political;5/14/2020;5/17/2020;2149;45;44;3
FL;Florida;Florida Atlantic University;5/8/2020;5/12/2020;928;53;47;
FL;Florida;Quinnipiac University;4/16/2020;4/20/2020;1385;46;42;4
FL;Florida;St Pete Polls;4/14/2020;4/17/2020;5659;48;48;
FL;Florida;University of North Florida;3/31/2020;4/4/2020;3244;46;40;
FL;Florida;AtlasIntel;3/14/2020;3/16/2020;1100;45;45;
FL;Florida;Latino Decisions;3/6/2020;3/12/2020;1071;45;48;
FL;Florida;Florida Atlantic University;3/5/2020;3/7/2020;1216;49;51;
FL;Florida;Saint Leo University;2/17/2020;2/22/2020;900;51;40;
FL;Florida;University of North Florida;2/10/2020;2/18/2020;668;49;48;
GA;Georgia;Data for Progress;10/21/2020;11/1/2020;1036;50;48;1
GA;Georgia;AYTM;10/30/2020;11/1/2020;380;52;48;3
GA;Georgia;Landmark Communications;11/1/2020;11/1/2020;500;46;50;3
GA;Georgia;Morning Consult;10/22/2020;10/31/2020;1743;49;46;
GA;Georgia;CES;9/29/2020;10/27/2020;1456;48;47;
GA;Georgia;Landmark Communications;10/28/2020;10/28/2020;750;47;48;3
GA;Georgia;Public Policy Polling;10/27/2020;10/28/2020;661;48;46;
GA;Georgia;Monmouth University;10/23/2020;10/27/2020;504;50;47;
GA;Georgia;Civiqs;10/23/2020;10/26/2020;1047;51;46;
GA;Georgia;University of Georgia;10/14/2020;10/23/2020;1145;47;46;3
GA;Georgia;YouGov;10/20/2020;10/23/2020;1090;49;49;
GA;Georgia;Landmark Communications;10/21/2020;10/21/2020;500;45;49;
GA;Georgia;Morning Consult;10/11/2020;10/20/2020;1672;48;46;
GA;Georgia;Garin-Hart-Yang Research Group;10/11/2020;10/14/2020;600;51;44;
GA;Georgia;NYT/Siena College;10/13/2020;10/19/2020;749;45;45;3
GA;Georgia;Data for Progress;10/8/2020;10/11/2020;782;46;46;
GA;Georgia;Quinnipiac University;10/8/2020;10/12/2020;1040;51;44;
GA;Georgia;SurveyUSA;10/8/2020;10/12/2020;677;48;46;
GA;Georgia;Morning Consult;10/2/2020;10/11/2020;1837;47;49;
GA;Georgia;Landmark Communications;10/7/2020;10/7/2020;600;47;49;1
GA;Georgia;Public Policy Polling;10/8/2020;10/9/2020;528;47;46;
GA;Georgia;University of Georgia;9/27/2020;10/6/2020;1106;46;48;
GA;Georgia;Hart Research Associates;9/24/2020;9/27/2020;400;50;47;
GA;Georgia;Landmark Communications;9/30/2020;9/30/2020;500;47;45;3
GA;Georgia;Civiqs;9/26/2020;9/29/2020;969;50;47;
GA;Georgia;Quinnipiac University;9/23/2020;9/27/2020;1125;50;47;
GA;Georgia;YouGov;9/22/2020;9/25/2020;1164;46;47;
GA;Georgia;Data for Progress;9/14/2020;9/19/2020;800;46;46;
GA;Georgia;NYT/Siena College;9/16/2020;9/22/2020;523;45;45;2
GA;Georgia;Monmouth University;9/17/2020;9/21/2020;402;46;49;2
GA;Georgia;University of Georgia;9/11/2020;9/20/2020;1150;47;47;1
GA;Georgia;GBAO;9/14/2020;9/16/2020;600;49;46;
GA;Georgia;Redfield & Wilton Strategies;9/12/2020;9/18/2020;800;45;46;3
GA;Georgia;Fabrizio Ward/Hart Research Associates;8/30/2020;9/5/2020;1558;47;46;
GA;Georgia;Morning Consult;8/29/2020;9/7/2020;1486;46;48;
GA;Georgia;Landmark Communications;8/29/2020;8/31/2020;500;41;48;2
GA;Georgia;Morning Consult;8/21/2020;8/30/2020;700;49;46;
GA;Georgia;Morning Consult;8/7/2020;8/16/2020;700;46;47;
GA;Georgia;Public Policy Polling;8/24/2020;8/25/2020;782;47;46;
GA;Georgia;Landmark Communications;8/14/2020;8/15/2020;500;45;47;4
GA;Georgia;SurveyUSA;8/6/2020;8/8/2020;623;46;44;
GA;Georgia;YouGov;7/28/2020;7/31/2020;1109;46;45;
GA;Georgia;Monmouth University;7/23/2020;7/27/2020;402;47;48;
GA;Georgia;Morning Consult;7/17/2020;7/26/2020;1337;47;46;
GA;Georgia;Public Policy Polling;7/23/2020;7/24/2020;722;46;45;
GA;Georgia;Garin-Hart-Yang Research Group;7/9/2020;7/15/2020;800;47;43;
GA;Georgia;Public Policy Polling;6/25/2020;6/26/2020;734;49;45;
GA;Georgia;Fox News/Beacon Research/Shaw & Co. Research;6/20/2020;6/23/2020;1012;47;45;
GA;Georgia;Public Policy Polling;6/12/2020;6/13/2020;661;48;46;
GA;Georgia;TargetSmart/Dynata;5/21/2020;5/27/2020;321;40;44;
GA;Georgia;Civiqs;5/16/2020;5/18/2020;1339;48;47;3
GA;Georgia;BK Strategies;5/11/2020;5/13/2020;700;46;48;
GA;Georgia;Public Opinion Strategies;5/4/2020;5/7/2020;500;47;46;
GA;Georgia;Cygnal;4/25/2020;4/27/2020;604;44;45;
GA;Georgia;Battleground Connect;3/31/2020;4/1/2020;1035;46;48;
GA;Georgia;University of Georgia;2/24/2020;3/2/2020;1117;43;51;
GA;Georgia;Mason-Dixon Polling & Research Inc.;2/1/2020;2/1/2020;525;44;51;
GA;Georgia;SurveyUSA;2/1/2020;2/1/2020;443;47;43;
HI;Hawaii;MRG Research;10/2/2020;10/7/2020;988;61;28;
